Scenario,Max_Temp(K),Blast_Area(km²),Shockwave_Radius(km),Total_Information(km²),Total_Energy,Radiation_Fallout(km²)
Uncontained,1978109.4963674522,8.684e-05,0.0052575688788831275,0.0,687097344.1238092,7.836e-05
Late Containment,2166138.647154404,5.8280000000000004e-05,0.004307098810892469,0.0,418277803.0096024,4.612e-05
Pre-Primed Containment,2478828.124435683,2.7600000000000003e-06,0.0009373021315815207,0.0,169916874.2439455,2.7600000000000003e-06
