iter,residual_norm
0,71.64584992842784
1,71.36305195060817
2,71.29560391270718
3,71.27920214935786
4,71.2751942206563
5,71.2742136741382
6,71.27397371154225
7,71.27391498289097
8,71.27390060933841
9,71.27389709146604
10,71.27389623047922
11,71.27389601975571
12,71.27389596818185
13,71.27389595555933
14,71.27389595247001
15,71.27389595171391
16,71.27389595152886
17,71.27389595148358
18,71.2738959514725
19,71.27389595146977
20,71.27389595146911
21,71.27389595146893
22,71.2738959514689
23,71.27389595146889
24,71.27389595146889
25,71.27389595146889
26,71.27389595146889
27,71.27389595146889
28,71.27389595146889
29,71.27389595146889
30,71.27389595146889
31,71.27389595146889
32,71.27389595146889
33,71.27389595146889
34,71.27389595146889
35,71.27389595146889
36,71.27389595146889
37,71.27389595146889
38,71.27389595146889
39,71.27389595146889
40,71.27389595146889
41,71.27389595146889
42,71.27389595146889
43,71.27389595146889
44,71.27389595146889
45,71.27389595146889
46,71.27389595146889
47,71.27389595146889
48,71.27389595146889
49,71.27389595146889
50,71.27389595146889
51,71.27389595146889
52,71.27389595146889
53,71.27389595146889
54,71.27389595146889
55,71.27389595146889
56,71.27389595146889
57,71.27389595146889
58,71.27389595146889
59,71.27389595146889
60,71.27389595146889
61,71.27389595146889
62,71.27389595146889
63,71.27389595146889
64,71.27389595146889
65,71.27389595146889
66,71.27389595146889
67,71.27389595146889
68,71.27389595146889
69,71.27389595146889
70,71.27389595146889
71,71.27389595146889
72,71.27389595146889
73,71.27389595146889
74,71.27389595146889
75,71.27389595146889
76,71.27389595146889
77,71.27389595146889
78,71.27389595146889
79,71.27389595146889
80,71.27389595146889
81,71.27389595146889
82,71.27389595146889
83,71.27389595146889
84,71.27389595146889
85,71.27389595146889
86,71.27389595146889
87,71.27389595146889
88,71.27389595146889
89,71.27389595146889
90,71.27389595146889
91,71.27389595146889
92,71.27389595146889
93,71.27389595146889
94,71.27389595146889
95,71.27389595146889
96,71.27389595146889
97,71.27389595146889
98,71.27389595146889
99,71.27389595146889
100,71.27389595146889
101,71.27389595146889
102,71.27389595146889
103,71.27389595146889
104,71.27389595146889
105,71.27389595146889
106,71.27389595146889
107,71.27389595146889
108,71.27389595146889
109,71.27389595146889
110,71.27389595146889
111,71.27389595146889
112,71.27389595146889
113,71.27389595146889
114,71.27389595146889
115,71.27389595146889
116,71.27389595146889
117,71.27389595146889
118,71.27389595146889
119,71.27389595146889
120,71.27389595146889
121,71.27389595146889
122,71.27389595146889
123,71.27389595146889
124,71.27389595146889
125,71.27389595146889
126,71.27389595146889
127,71.27389595146889
128,71.27389595146889
129,71.27389595146889
130,71.27389595146889
131,71.27389595146889
132,71.27389595146889
133,71.27389595146889
134,71.27389595146889
135,71.27389595146889
136,71.27389595146889
137,71.27389595146889
138,71.27389595146889
139,71.27389595146889
140,71.27389595146889
141,71.27389595146889
142,71.27389595146889
143,71.27389595146889
144,71.27389595146889
145,71.27389595146889
146,71.27389595146889
147,71.27389595146889
148,71.27389595146889
149,71.27389595146889
150,71.27389595146889
151,71.27389595146889
152,71.27389595146889
153,71.27389595146889
154,71.27389595146889
155,71.27389595146889
156,71.27389595146889
157,71.27389595146889
158,71.27389595146889
159,71.27389595146889
160,71.27389595146889
161,71.27389595146889
162,71.27389595146889
163,71.27389595146889
164,71.27389595146889
165,71.27389595146889
166,71.27389595146889
167,71.27389595146889
168,71.27389595146889
169,71.27389595146889
170,71.27389595146889
171,71.27389595146889
172,71.27389595146889
173,71.27389595146889
174,71.27389595146889
175,71.27389595146889
176,71.27389595146889
177,71.27389595146889
178,71.27389595146889
