test_id,geometry,reynolds,velocity,pressure_gradient,expected_regime,hash,simulation_time,entropy_time,total_time,velocity_stats,tree_nodes,tree_depth,navigation_path,path_length,velocity_field_shape,success
509,pipe,1607.142857142857,1.0,-0.25,transition,9bf00c24478c97c8d9c78915a9a841438249c8a10554ce9f68c3c939510554dc,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
705,pipe,2464.285714285714,1.0,-0.05,transition,a41cbd879414d1ce1dd0a10c1ca2cc0d66319066f60c6b6e07293ab3c12e8486,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1707,channel,715.7894736842105,1.0,-0.15,laminar,55b1ae5eedc18df1e1d13dca8bbc58097e3c92d5dc427a27990400378daffc39,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2406,channel,4264.3451480959675,1.0,-0.1,turbulent,21a3931a63ec4b58763745fba19776716369dbe0e736d40ff3e2215f8128cee2,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3661,cavity,2464.285714285714,1.5,-0.1,transition,6e9e833797b8ef70c45dd14deb6a85b96f1d09e4806369111f7863c9f935c3e9,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3023,cavity,166.8421052631579,2.5,-0.2,laminar,e5d74d2f61c6f6f8ab0c3d79f0ab3b3ad86121647078908db75799a0916a5c5f,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3555,cavity,2035.7142857142858,1.0,-0.05,transition,eda40de9d97fa7cad5a674627f610a6dd4d7a98c9c2a6776ef7d215de027abde,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3227,cavity,872.6315789473684,0.5,-0.15,laminar,25bfd94dc3710aec4d78a45b385fd6ac151126d2ab73942bc7481cd9f92766ff,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2541,channel,7663.09432393553,2.0,-0.1,turbulent,c437f571da43a627a42c5139469605db0c54de6e9f0f3e4747b63988b1724673,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3155,cavity,637.3684210526316,1.0,-0.05,laminar,9f11355d34076d2f723c3e16b8553054ad06ae98770af5356b613ecb0937975d,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
