step,loss
0,1.0491505861282349
1,0.9494959115982056
2,0.8611509799957275
3,0.7839364409446716
4,0.7175071239471436
5,0.6613055467605591
6,0.6145552396774292
7,0.5763422846794128
8,0.5456342101097107
9,0.5213099718093872
10,0.5022233128547668
11,0.48728492856025696
12,0.4755242168903351
13,0.4661473333835602
14,0.4584715962409973
15,0.45193561911582947
16,0.44611164927482605
17,0.4406619668006897
18,0.4353499710559845
19,0.4300054609775543
20,0.42453455924987793
21,0.41889476776123047
22,0.41310441493988037
23,0.4071957468986511
24,0.4012439250946045
25,0.39530280232429504
26,0.38942962884902954
27,0.38366568088531494
28,0.37802010774612427
29,0.3724825978279114
30,0.3670401871204376
31,0.36165550351142883
32,0.35630539059638977
33,0.3509632349014282
34,0.345633327960968
35,0.34031885862350464
36,0.33505779504776
37,0.32988131046295166
38,0.32483765482902527
39,0.31997165083885193
40,0.31530722975730896
41,0.3108544945716858
42,0.30660349130630493
43,0.3025141656398773
44,0.2985224425792694
45,0.294572651386261
46,0.2905701696872711
47,0.2864695191383362
48,0.28222548961639404
49,0.27782976627349854
50,0.2732938528060913
51,0.26864689588546753
52,0.26393869519233704
53,0.259222149848938
54,0.2545243799686432
55,0.24986301362514496
56,0.24525924026966095
57,0.24070142209529877
58,0.23615501821041107
59,0.23160141706466675
60,0.2270258069038391
61,0.2224036008119583
62,0.21773351728916168
63,0.21302106976509094
64,0.2082887887954712
65,0.20355626940727234
66,0.19883809983730316
67,0.19415639340877533
68,0.1895112544298172
69,0.1849035620689392
70,0.180329367518425
71,0.17577612400054932
72,0.17124085128307343
73,0.16671478748321533
74,0.1622074544429779
75,0.15771624445915222
76,0.15327782928943634
77,0.14888028800487518
78,0.14452476799488068
79,0.1402212530374527
80,0.135959655046463
81,0.13174207508563995
82,0.12758272886276245
83,0.12348669022321701
84,0.11945709586143494
85,0.11550208926200867
86,0.11162859946489334
87,0.10783908516168594
88,0.1041322723031044
89,0.10050947219133377
90,0.096971295773983
91,0.0935186892747879
92,0.09015731513500214
93,0.08689089119434357
94,0.08372332900762558
95,0.08065763115882874
96,0.07769149541854858
97,0.07482407987117767
98,0.07205168902873993
99,0.06937466561794281
100,0.06679657101631165
101,0.0643174946308136
102,0.06193767488002777
103,0.05965790897607803
104,0.057479094713926315
105,0.05539773032069206
106,0.05341285839676857
107,0.05152421072125435
108,0.049729518592357635
109,0.048027701675891876
110,0.04641728848218918
111,0.04489687830209732
112,0.04346410930156708
113,0.04211689904332161
114,0.040853098034858704
115,0.03967031091451645
116,0.03856543079018593
117,0.03753555193543434
118,0.036578044295310974
119,0.03569011762738228
120,0.034868549555540085
121,0.03411049768328667
122,0.03341323882341385
123,0.03277333080768585
124,0.03218703716993332
125,0.03165119141340256
126,0.031162898987531662
127,0.030719371512532234
128,0.03031780943274498
129,0.029953937977552414
130,0.029624825343489647
131,0.029328109696507454
132,0.02906154841184616
133,0.028822846710681915
134,0.02860955148935318
135,0.028419125825166702
136,0.0282489825040102
137,0.02809744141995907
138,0.02795894630253315
139,0.02783496119081974
140,0.027724111452698708
141,0.027624953538179398
142,0.027536194771528244
143,0.027456732466816902
144,0.0273856520652771
145,0.027322104200720787
146,0.02726098708808422
147,0.027202613651752472
148,0.027148397639393806
149,0.027098102495074272
150,0.027051420882344246
151,0.027008023113012314
152,0.026967577636241913
153,0.02692977897822857
154,0.026889700442552567
155,0.0268488097935915
156,0.02680915780365467
157,0.0267709419131279
158,0.026733912527561188
159,0.026698369532823563
160,0.02666439116001129
161,0.02663133107125759
162,0.026593660935759544
163,0.026557130739092827
164,0.026521895080804825
165,0.02648804895579815
166,0.026454849168658257
167,0.026422960683703423
168,0.026392534375190735
169,0.026357771828770638
170,0.026321038603782654
171,0.02628502808511257
172,0.026250014081597328
173,0.026216192170977592
174,0.02618364989757538
175,0.026152372360229492
176,0.02611994743347168
177,0.026083625853061676
178,0.026048220694065094
179,0.026013635098934174
180,0.02597992867231369
181,0.025947142392396927
182,0.025913987308740616
183,0.025878455489873886
184,0.025838587433099747
185,0.02579902671277523
186,0.025759117677807808
187,0.02571968547999859
188,0.025680873543024063
189,0.025642720982432365
190,0.02559814415872097
191,0.025552622973918915
192,0.02550644613802433
193,0.025460045784711838
194,0.02541404217481613
195,0.025368571281433105
196,0.025315670296549797
197,0.025259343907237053
198,0.025202946737408638
199,0.025146834552288055
