exp_19 Phase 8 n=24 workers=8 start 20260903_155724
  ~13900000 trees, 157631 survivors [13670s]
  ~14000000 trees, 158996 survivors [13748s]
  ~14100000 trees, 160311 survivors [13831s]
  ~14200000 trees, 160903 survivors [13909s]
  ~14300000 trees, 161304 survivors [13987s]
  ~14400000 trees, 161765 survivors [14062s]
  ~14500000 trees, 162110 survivors [14145s]
  ~14600000 trees, 163113 survivors [14220s]
  ~14700000 trees, 163910 survivors [14294s]
  ~14800000 trees, 164994 survivors [14370s]
  ~14900000 trees, 166203 survivors [14452s]
  ~15000000 trees, 167505 survivors [14526s]
  ~15100000 trees, 168449 survivors [14597s]
  ~15200000 trees, 169968 survivors [14669s]
  ~15300000 trees, 171182 survivors [14744s]
  ~15400000 trees, 172220 survivors [14816s]
  ~15500000 trees, 172785 survivors [14888s]
  ~15600000 trees, 173190 survivors [14958s]
  ~15700000 trees, 173736 survivors [15033s]
  ~15800000 trees, 174476 survivors [15104s]
  ~15900000 trees, 175375 survivors [15177s]
  ~16000000 trees, 176141 survivors [15246s]
  ~16100000 trees, 176786 survivors [15320s]
  ~16200000 trees, 178007 survivors [15396s]
  ~16300000 trees, 179187 survivors [15471s]
  ~16400000 trees, 180247 survivors [15537s]
  ~16500000 trees, 181361 survivors [15617s]
  ~16600000 trees, 182539 survivors [15675s]
  ~16700000 trees, 183831 survivors [16615s]
  ~16800000 trees, 184656 survivors [16641s]
  ~16900000 trees, 185596 survivors [16668s]
  ~17000000 trees, 186747 survivors [16699s]
  ~17100000 trees, 187979 survivors [16727s]
  ~17200000 trees, 188878 survivors [16756s]
  ~17300000 trees, 189999 survivors [16786s]
  ~17400000 trees, 190931 survivors [16816s]
  ~17500000 trees, 191701 survivors [16845s]
  ~17600000 trees, 192583 survivors [16874s]
  ~17700000 trees, 193673 survivors [16903s]
  ~17800000 trees, 194712 survivors [16934s]
  ~17900000 trees, 195515 survivors [16964s]
  ~18000000 trees, 196634 survivors [16994s]
  ~18100000 trees, 197680 survivors [17023s]
  ~18200000 trees, 198823 survivors [17051s]
  ~18300000 trees, 200415 survivors [17077s]
  ~18400000 trees, 201789 survivors [17104s]
  ~18500000 trees, 203120 survivors [17131s]
  ~18600000 trees, 203796 survivors [17159s]
  ~18700000 trees, 204553 survivors [17187s]
  ~18800000 trees, 205427 survivors [17213s]
  ~18900000 trees, 206725 survivors [17240s]
  ~19000000 trees, 208234 survivors [17268s]
  ~19100000 trees, 209365 survivors [17297s]
  ~19200000 trees, 210210 survivors [17324s]
  ~19300000 trees, 210742 survivors [17351s]
  ~19400000 trees, 211296 survivors [17379s]
  ~19500000 trees, 211625 survivors [17407s]
  ~19600000 trees, 212210 survivors [17435s]
  ~19700000 trees, 212786 survivors [17461s]
  ~19800000 trees, 213411 survivors [17488s]
  ~19900000 trees, 214029 survivors [17516s]
  ~20000000 trees, 214788 survivors [17543s]
  ~20100000 trees, 215386 survivors [17571s]
  ~20200000 trees, 216158 survivors [17601s]
  ~20300000 trees, 216960 survivors [17628s]
  ~20400000 trees, 217909 survivors [17657s]
  ~20500000 trees, 218661 survivors [17684s]
  ~20600000 trees, 219346 survivors [17712s]
  ~20700000 trees, 220456 survivors [17740s]
  ~20800000 trees, 221275 survivors [17769s]
  ~20900000 trees, 221956 survivors [17799s]
  ~21000000 trees, 222793 survivors [17827s]
  ~21100000 trees, 223830 survivors [17855s]
  ~21200000 trees, 224397 survivors [17883s]
  ~21300000 trees, 225411 survivors [17912s]
  ~21400000 trees, 226204 survivors [17940s]
  ~21500000 trees, 226577 survivors [17967s]
  ~21600000 trees, 227002 survivors [17995s]
  ~21700000 trees, 227697 survivors [18025s]
  ~21800000 trees, 228943 survivors [18052s]
  ~21900000 trees, 229963 survivors [18080s]
  ~22000000 trees, 231210 survivors [18109s]
  ~22100000 trees, 232502 survivors [18138s]
  ~22200000 trees, 233807 survivors [18167s]
  ~22300000 trees, 234935 survivors [18196s]
  ~22400000 trees, 235639 survivors [18222s]
  ~22500000 trees, 236495 survivors [18249s]
  ~22600000 trees, 237481 survivors [18277s]
  ~22700000 trees, 238346 survivors [18304s]
  ~22800000 trees, 239824 survivors [18332s]
  ~22900000 trees, 240858 survivors [18360s]
  ~23000000 trees, 241983 survivors [18389s]
  ~23100000 trees, 243145 survivors [18417s]
