Prime,Modulation,Peak Count,FFT Symmetry Score
2,6.283185307179586,16,4831.368210798035
3,9.42477796076938,15,4882.878110239371
5,15.707963267948966,16,4935.348606972445
7,21.991148575128552,15,4893.5442686163915
11,34.55751918948772,18,4951.019981015917
