tree_depth,breadth,extinction_rate,p_value
0,3,0.4,0.09772738346190454
0,3,0.7,0.09772738346190454
0,3,1.0,0.09772738346190454
0,4,0.4,0.3871394460716211
0,4,0.7,0.3871394460716211
0,4,1.0,0.3871394460716211
0,5,0.4,0.5762339369509976
0,5,0.7,0.5762339369509976
0,5,1.0,0.5762339369509976
1,3,0.4,0.08040039559153148
1,3,0.7,0.08040039559153148
1,3,1.0,0.08040039559153148
1,4,0.4,0.2237531133540016
1,4,0.7,0.2237531133540016
1,4,1.0,0.2237531133540016
1,5,0.4,0.12338665246654153
1,5,0.7,0.12338665246654153
1,5,1.0,0.12338665246654153
2,3,0.4,0.5693394352968717
2,3,0.7,0.5693394352968717
2,3,1.0,0.5693394352968717
2,4,0.4,0.44577777552323217
2,4,0.7,0.44577777552323217
2,4,1.0,0.44577777552323217
2,5,0.4,0.17336360412433627
2,5,0.7,0.17336360412433627
2,5,1.0,0.17336360412433627
3,3,0.4,0.12586340626207365
3,3,0.7,0.12586340626207365
3,3,1.0,0.12586340626207365
3,4,0.4,0.5103040028153683
3,4,0.7,0.5103040028153683
3,4,1.0,0.5103040028153683
3,5,0.4,0.16639221181895344
3,5,0.7,0.16639221181895344
3,5,1.0,0.16639221181895344
4,3,0.4,0.2982204304490463
4,3,0.7,0.2982204304490463
4,3,1.0,0.2982204304490463
4,4,0.4,0.3100875774122825
4,4,0.7,0.3100875774122825
4,4,1.0,0.3100875774122825
4,5,0.4,0.13719390994995342
4,5,0.7,0.13719390994995342
4,5,1.0,0.13719390994995342
5,3,0.4,0.7667484248029146
5,3,0.7,0.7667484248029146
5,3,1.0,0.7667484248029146
5,4,0.4,0.5833326948529789
5,4,0.7,0.5833326948529789
5,4,1.0,0.5833326948529789
5,5,0.4,0.5926724919958846
5,5,0.7,0.5926724919958846
5,5,1.0,0.5926724919958846
