t,residual_norm,entropy,cluster_frac
0,142.55324928152322,0.17909067938896137,0.1578369140625
1,146.83681706314076,0.17689155978452997,0.157958984375
2,151.25527818456965,0.17468478856784653,0.158203125
3,155.82120138796074,0.17261442178609168,0.15850830078125
4,160.54316091075583,0.1703925948327998,0.1585693359375
5,165.41688061058693,0.16815626291452085,0.158447265625
6,170.4576278747135,0.16593305836179223,0.15838623046875
7,175.63636711658447,0.16370678305854053,0.157958984375
8,181.00011307058045,0.16138688783918892,0.15802001953125
9,186.54098088577064,0.15896141359906168,0.15771484375
10,192.25752433795114,0.15649233757904435,0.15777587890625
11,198.15914068952554,0.15400493126298448,0.15740966796875
12,204.26210320330716,0.15161214123772598,0.15704345703125
13,210.56724070158882,0.14911793655176836,0.15692138671875
14,217.0668684732858,0.14658916537158218,0.15740966796875
15,223.77820252939756,0.1442897367899441,0.156982421875
16,230.7159095871271,0.14162230662281353,0.15643310546875
17,237.88140587483792,0.13917230453250684,0.15643310546875
18,245.28255982256863,0.13669469227107323,0.15606689453125
19,252.93495122499885,0.1342766146260783,0.1561279296875
20,260.84710735528677,0.1316186974912639,0.1563720703125
21,269.0250514301365,0.12885265920689032,0.15673828125
22,277.4683616864739,0.12608811055394228,0.15692138671875
23,286.19163466711854,0.12345636517391162,0.15673828125
24,295.2171009421049,0.12074896413820414,0.15704345703125
25,304.53670682867147,0.11817400783138662,0.15728759765625
26,314.1828022338889,0.11559818420810465,0.15673828125
27,324.14971062194894,0.11305000221597591,0.15728759765625
28,334.45669436935094,0.11051468330449266,0.1572265625
29,345.11782474495567,0.10796272937541498,0.157470703125
30,356.14677268999736,0.10546440159933038,0.1580810546875
31,367.5502507525532,0.10300241628732995,0.1580810546875
32,379.3290466908126,0.10055702781110601,0.15838623046875
33,391.52972548176155,0.0981262981355475,0.15838623046875
34,404.1368701967567,0.09578563572244445,0.158447265625
35,417.1900022869114,0.09344471631948785,0.15863037109375
36,430.69213081948715,0.09110871400810826,0.15863037109375
37,444.66366846317976,0.08887773493368928,0.15863037109375
38,459.1214295353657,0.08667435774403974,0.158447265625
39,474.08714329645966,0.0844846612428735,0.15869140625
40,489.56348559932565,0.08236129940798761,0.15838623046875
41,505.57760986322825,0.08026390680892576,0.157958984375
42,522.1675188226636,0.07819436348275277,0.1580810546875
43,539.3245543107939,0.0761789564405577,0.1580810546875
44,557.0909479078381,0.07419166780182034,0.1580810546875
45,575.4846218441911,0.07224225677173295,0.15777587890625
46,594.5326013835353,0.07033961195880307,0.15802001953125
47,614.2524645797748,0.0684613671675299,0.158203125
48,634.6643186068925,0.06662530747229925,0.15826416015625
49,655.8205915064622,0.06484373162730543,0.15814208984375
50,677.7107533251797,0.06309001584885583,0.158447265625
51,700.3981615774761,0.06137715891044623,0.1585693359375
52,723.8824525431233,0.05968995656405026,0.15850830078125
53,748.2180303851962,0.058028043198814515,0.1583251953125
54,773.4259575359047,0.05642706134692621,0.1585693359375
55,799.5415417203309,0.054859085771273124,0.15863037109375
56,826.5933846468399,0.05332201505587466,0.1588134765625
57,854.6200679065713,0.05181773102856096,0.1590576171875
58,883.6776497287082,0.05034838331387001,0.1595458984375
59,913.7668127204598,0.04891986786733577,0.159423828125
60,944.9741173984587,0.04747394931597827,0.15948486328125
61,977.3117739820365,0.046058265989987614,0.159423828125
62,1010.8232451926898,0.044693119968154366,0.15972900390625
63,1045.5652995323746,0.043352005575363686,0.15966796875
64,1081.5844073891162,0.042049629422817585,0.1597900390625
65,1118.9220421942964,0.04077704487572621,0.159423828125
66,1157.6326348325667,0.03953565366524482,0.1597900390625
67,1197.7708529594931,0.03832171675346051,0.15960693359375
68,1239.3859506097667,0.03714490305370877,0.1597900390625
69,1282.5459538964708,0.0360074557173827,0.16009521484375
70,1327.3056411818486,0.03488980620674477,0.15997314453125
71,1373.7218019005825,0.03380268479029823,0.16015625
72,1421.878306316102,0.03273854681047419,0.16021728515625
73,1471.8158775154247,0.03171235433696078,0.16046142578125
74,1523.6420672126135,0.030711791242613095,0.1602783203125
75,1577.3965671758365,0.02973476413461348,0.16009521484375
76,1633.161295425882,0.028790705814151628,0.16033935546875
77,1691.0335051775232,0.02786676174205079,0.16021728515625
78,1751.0931900084438,0.026969236254601063,0.1605224609375
79,1813.400561925582,0.026093103353407993,0.1602783203125
80,1878.0669747989027,0.025247447847064064,0.16058349609375
81,1945.1817217242608,0.024426356723270936,0.16082763671875
82,2014.8303700292483,0.023627635856399182,0.1610107421875
83,2087.1257021806987,0.02285348408838802,0.16070556640625
84,2162.1709395857374,0.022102798656435493,0.16119384765625
85,2240.0842373837727,0.02137476751674318,0.1612548828125
86,2320.9614135159577,0.02066749274323525,0.16119384765625
87,2404.9379955545633,0.019982157674676912,0.16131591796875
88,2492.132972537632,0.019317671297497313,0.16119384765625
89,2582.6668814358154,0.018674225094448677,0.16156005859375
90,2676.6778445031778,0.018050870135788776,0.161376953125
91,2774.3113001754004,0.01744654344872811,0.16168212890625
92,2875.7098262720897,0.01686092341840812,0.16156005859375
93,2981.019270006206,0.016292434085226994,0.16162109375
94,3090.4144046615816,0.015723807790596643,0.16204833984375
95,3204.0421065201735,0.01517327183255866,0.16217041015625
96,3322.0743864972874,0.014641203137860817,0.1622314453125
97,3444.6937098643607,0.014126360051325226,0.16204833984375
98,3572.0901971669614,0.0136275505497276,0.16259765625
99,3704.4449727187425,0.013145337618050121,0.16259765625
100,3841.970890579077,0.012680520168573538,0.1624755859375
101,3984.8795573566363,0.01222989894653986,0.1617431640625
102,4133.38172846033,0.011795131568477269,0.1619873046875
103,4287.708590487701,0.011376179196464187,0.162109375
104,4448.100997928335,0.01097032025840772,0.16229248046875
105,4614.799751675701,0.010577622285964467,0.16217041015625
106,4788.0615198534515,0.01019907016193093,0.16168212890625
107,4968.171189800797,0.009832466222594455,0.16180419921875
108,5155.387147958026,0.009478727914877003,0.16180419921875
109,5350.0054012372475,0.009137678418122545,0.162109375
110,5552.329547795728,0.008807781357856335,0.16204833984375
111,5762.684205654356,0.008489216893430905,0.16180419921875
112,5981.407217559452,0.008181716676471208,0.161865234375
113,6208.827531617978,0.007884732378037287,0.16168212890625
114,6445.299168051303,0.007597697239274883,0.1617431640625
115,6691.219238318016,0.007320899830823014,0.16156005859375
116,6946.949514769352,0.007054133189243784,0.16204833984375
117,7212.918045248169,0.00679636211414507,0.16241455078125
118,7489.540978338919,0.006548275272096064,0.162353515625
119,7777.254640570149,0.006308956374142538,0.16253662109375
120,8076.520644656402,0.00607760461646906,0.1622314453125
121,8387.818003211401,0.005854059791295931,0.16241455078125
122,8711.643713806172,0.005638628239386017,0.1622314453125
123,9048.523879472066,0.005430954609567958,0.1617431640625
124,9398.996619655007,0.005230821323913326,0.16204833984375
125,9763.638102195155,0.005037512802602211,0.16192626953125
126,10143.027139950726,0.004850978352172085,0.16180419921875
127,10537.791819860347,0.004671261494759016,0.161865234375
128,10948.55896252273,0.004497670121418925,0.1617431640625
129,11376.0007975963,0.00433020810348925,0.1617431640625
130,11820.81789297149,0.00416893381328511,0.1619873046875
131,12283.73250983556,0.004013592910773773,0.16168212890625
132,12765.52440663295,0.0038640866672162125,0.16131591796875
133,13266.961950449471,0.0037195373139965186,0.16143798828125
134,13788.879599873178,0.003580103524378493,0.161376953125
135,14332.139375510997,0.0034459157652462586,0.1612548828125
136,14897.621096573203,0.0033167565012282036,0.1611328125
137,15486.277613953198,0.00319226948154885,0.1611328125
138,16099.079242413198,0.0030721423138520844,0.160888671875
139,16737.0528382426,0.0029564143222344007,0.16058349609375
140,17401.243761869187,0.002844829129584004,0.1602783203125
141,18092.764599439528,0.0027374555825585858,0.1602783203125
142,18812.780810927423,0.0026338911827219758,0.16009521484375
143,19562.48608143567,0.0025342657056377756,0.16021728515625
144,20343.145693965555,0.002438381096796704,0.16046142578125
145,21156.0686285953,0.0023458001160189044,0.16046142578125
146,22002.623825303872,0.002256806128920707,0.160400390625
147,22884.217241643884,0.0021709748716100285,0.16046142578125
148,23802.349349487187,0.002088299657992396,0.16070556640625
149,24758.580867255336,0.0020087960264502124,0.16082763671875
150,25754.523121106813,0.0019322781674078239,0.1605224609375
151,26791.871934701954,0.0018585017347107727,0.16064453125
152,27872.37507073,0.001787507419373779,0.160888671875
153,28997.87685799513,0.0017189600814577954,0.16094970703125
154,30170.30641046511,0.0016531461623584213,0.16064453125
155,31391.662716369337,0.0015897667651654339,0.1605224609375
156,32664.035373842205,0.0015287442138737695,0.16064453125
157,33989.58767287827,0.0014698920937486707,0.1605224609375
158,35370.6099652122,0.001413396386583071,0.16070556640625
159,36809.48018238141,0.0013589193712165016,0.1607666015625
160,38308.65723139752,0.001306452373803751,0.160888671875
161,39870.73884172188,0.0012560426692680379,0.1607666015625
162,41498.40885280269,0.001207540868735646,0.1605224609375
163,43194.49181330228,0.0011608419122678159,0.16058349609375
164,44961.92603508954,0.0011159912798537853,0.16082763671875
165,46803.78006369099,0.0010727763661901874,0.16064453125
166,48723.24114139467,0.0010311949635368528,0.1605224609375
167,50723.65612864889,0.0009911844014279026,0.160400390625
168,52808.50938838817,0.0009526968596124168,0.16021728515625
169,54981.43344537662,0.0009157025692641723,0.1600341796875
170,57246.221947366466,0.0008800524263221834,0.15997314453125
171,59606.83623858214,0.0008457834523224773,0.15997314453125
172,62067.4147230375,0.000812816995595986,0.15985107421875
173,64632.28074287135,0.0007811572265913597,0.15936279296875
174,67305.93229387309,0.0007505996008111976,0.1591796875
175,70093.06920698874,0.00072126560233046,0.158935546875
176,72998.60677678554,0.000693051411172832,0.158935546875
177,76027.6644560412,0.0006659308110402934,0.15875244140625
178,79185.59774159208,0.0006398522602897852,0.15869140625
179,82477.99201467811,0.0006147737693848209,0.15899658203125
180,85910.67312318421,0.0005906280362720214,0.158935546875
181,89489.7298835153,0.0005674475377913725,0.15899658203125
182,93221.51510364041,0.0005451451811666514,0.15887451171875
183,97112.66774943164,0.0005237183933817096,0.15850830078125
184,101170.11449439212,0.000503093850184352,0.15863037109375
185,105401.07933406775,0.000483283214123061,0.1583251953125
186,109813.12562193451,0.00046420997812521037,0.15826416015625
187,114414.12240696624,0.0004458969737755596,0.157958984375
188,119212.31198614437,0.00042828783712972157,0.15802001953125
189,124216.27100604976,0.000411382228412621,0.15802001953125
190,129434.99040791097,0.00039511391205892344,0.157958984375
191,134877.83391792054,0.0003794723837639794,0.15777587890625
192,140554.58946077497,0.00036444872065469295,0.15802001953125
193,146475.46593809457,0.00035001063839167437,0.15777587890625
194,152651.13583011043,0.00033612411171934567,0.15771484375
195,159092.74189420702,0.000322782287888375,0.1578369140625
196,165811.9117889221,0.00030995908788452627,0.15777587890625
197,172820.79843140097,0.0002976366170570044,0.15740966796875
198,180132.09480633505,0.0002858050619066226,0.15765380859375
199,187759.0446801176,0.00027443090831720345,0.1575927734375
200,195715.48531281942,0.00026350140384028627,0.1578369140625
201,204015.8699338984,0.0002529963428858908,0.1580810546875
202,212675.28670377846,0.00024291095235358064,0.1580810546875
203,221709.50153123427,0.0002332150712340965,0.157958984375
204,231134.97993751106,0.00022389774295220415,0.15814208984375
205,240968.9152017301,0.00021495067028650332,0.15863037109375
206,251229.2544958009,0.00020635958777733977,0.1585693359375
207,261934.77194107548,0.00019810054414821335,0.15850830078125
208,273105.0540101675,0.00019016546897544274,0.1583251953125
209,284760.55719563895,0.00018254587828922506,0.158203125
210,296922.6731651978,0.00017522361901207466,0.1583251953125
211,309613.71247579594,0.00016819622730198131,0.158203125
212,322857.00980576855,0.00016144622227846938,0.15838623046875
213,336676.9182272059,0.00015495842080520708,0.1583251953125
214,351098.8936224524,0.00014872790743414703,0.15826416015625
215,366149.51086530613,0.00014274496150808652,0.15838623046875
216,381856.53663461946,0.0001370023198605739,0.15869140625
217,398248.99444248015,0.00013148664414675744,0.15887451171875
218,415357.1824761302,0.00012618883218212224,0.158935546875
219,433212.75354440755,0.00012110156980687592,0.1590576171875
220,451848.7895168579,0.0001162153313082459,0.15924072265625
221,471299.84375228087,0.00011152509134188837,0.15863037109375
222,491602.0071463528,0.0001070263000872626,0.15875244140625
223,512792.9974320252,0.0001027031096853165,0.1588134765625
224,534912.2198738429,9.855264738888665e-05,0.15863037109375
225,558000.837577261,9.456937623735898e-05,0.1580810546875
226,582101.8577987651,9.074105013777482e-05,0.15802001953125
227,607260.2235983182,8.706552280063421e-05,0.1578369140625
228,633522.8776623819,8.353728758233495e-05,0.15765380859375
229,660938.883383878,8.015170592364048e-05,0.1575927734375
230,689559.4885124541,7.687905990260549e-05,0.15765380859375
231,719438.2703301733,7.370848705619844e-05,0.15765380859375
232,750631.1620141558,7.067202630932254e-05,0.15789794921875
233,783196.6595091029,6.775980880495389e-05,0.15777587890625
234,817195.8505036486,6.496352451495945e-05,0.15789794921875
235,852692.5737456061,6.228114331743275e-05,0.15777587890625
236,889753.5619942428,5.970938276953393e-05,0.1580810546875
237,928448.5096258954,5.724223337799965e-05,0.1583251953125
238,968850.2775145064,5.487556346657258e-05,0.15826416015625
239,1011034.9957122052,5.260712218940984e-05,0.1585693359375
240,1055082.2131398926,5.043131033037291e-05,0.15863037109375
241,1101075.0637486312,4.834432686607347e-05,0.15869140625
242,1149100.4244345082,4.634392070348453e-05,0.15869140625
243,1199249.0885394672,4.442564912996389e-05,0.1588134765625
244,1251615.9521522354,4.258526806832772e-05,0.15869140625
245,1306300.1619017927,4.082031979985832e-05,0.15911865234375
246,1363405.3587604659,3.9127645168338994e-05,0.15899658203125
247,1423039.849333066,3.7504445635205175e-05,0.15899658203125
248,1485316.8221027814,3.594804920820615e-05,0.15899658203125
249,1550354.5902368566,3.4455360763621045e-05,0.1590576171875
250,1618276.7945948225,3.30242186161364e-05,0.15911865234375
251,1689212.6662949605,3.165226378995404e-05,0.15924072265625
252,1763297.269676512,3.03374900165957e-05,0.1590576171875
253,1840671.7788065495,2.907604596453094e-05,0.15936279296875
254,1921483.741505929,2.786704290605341e-05,0.1593017578125
255,2005887.3849979725,2.6707302837579016e-05,0.15936279296875
256,2094043.9099356686,2.5595369155641553e-05,0.15936279296875
257,2186121.8030398637,2.4530135733450166e-05,0.15936279296875
258,2282297.1958847223,2.3508449392967208e-05,0.159423828125
259,2382754.1795891896,2.252931443366348e-05,0.15936279296875
260,2487685.176820455,2.1589701372966e-05,0.15887451171875
261,2597291.338488901,2.0689178738919168e-05,0.15887451171875
262,2711782.923427316,1.9826107332844174e-05,0.1590576171875
263,2831379.7237344007,1.8998708780361815e-05,0.1591796875
264,2956311.489487034,1.820581685139407e-05,0.158935546875
265,3086818.395060543,1.7445586891088953e-05,0.15863037109375
266,3223151.517579802,1.671678264228148e-05,0.1585693359375
267,3365573.3081924096,1.601838616456408e-05,0.158447265625
268,3514358.136959279,1.5348796732647047e-05,0.15863037109375
269,3669792.8485547323,1.4707045589297833e-05,0.158447265625
270,3832177.2835311946,1.4091929464741319e-05,0.15850830078125
271,4001824.937537304,1.3502436062556236e-05,0.15838623046875
272,4179063.5166211003,1.2937107487577172e-05,0.158447265625
273,4364235.641896987,1.2395277702642082e-05,0.15869140625
274,4557699.50094411,1.1875951760151713e-05,0.15899658203125
275,4759829.586299976,1.1378573375708156e-05,0.15887451171875
276,4971017.407295984,1.090190815660905e-05,0.15899658203125
277,5191672.294866729,1.0444853134671508e-05,0.1590576171875
278,5422222.206374592,1.0006920028537694e-05,0.15924072265625
279,5663114.578472318,9.587017386309726e-06,0.1591796875
280,5914817.220778391,9.184816872720154e-06,0.15911865234375
281,6177819.268668095,8.799294057399687e-06,0.15911865234375
282,6452632.11622637,8.429877439477626e-06,0.15911865234375
283,6739790.476360225,8.075678293190029e-06,0.158935546875
284,7039853.432707432,7.736320853306414e-06,0.158935546875
285,7353405.570123188,7.411131811513434e-06,0.15899658203125
286,7681058.117522672,7.099571191087761e-06,0.15911865234375
287,8023450.181596998,6.800984847530783e-06,0.1593017578125
288,8381250.057004478,6.514863357155894e-06,0.15924072265625
289,8755156.518090053,6.240664693823576e-06,0.15899658203125
290,9145900.234433621,5.977996148032523e-06,0.15863037109375
291,9554245.25971101,5.726341769096116e-06,0.1585693359375
292,9980990.533117894,5.485114259090055e-06,0.15850830078125
293,10426971.48811605,5.254087289729233e-06,0.15869140625
294,10893061.73987064,5.032618857227877e-06,0.1588134765625
295,11380174.840312667,4.820541863831818e-06,0.15875244140625
296,11889266.091431353,4.617187517387337e-06,0.15863037109375
297,12421334.501947012,4.422464580747664e-06,0.15887451171875
298,12977424.751154937,4.235770274749632e-06,0.158935546875
299,13558629.331362607,4.056960145955842e-06,0.1588134765625
