Step,Energy
0,251603.51585922894
1,227072.17306295407
2,204932.63618931605
3,184951.7041608577
4,166918.91300517408
5,150644.3189871696
6,135956.49788592054
7,122700.73934204326
8,110737.41725619405
9,99940.51907371511
10,90196.31846402789
11,81402.17741378516
12,73465.4651159411
13,66302.58226713684
14,59838.08049609099
15,54003.867647722116
16,48738.49055206921
17,43986.487723242455
18,39697.80517022631
19,35827.26916612925
20,32334.110422431637
